ID,Organization_Name,Sector,Organization_Type,Acronym,Official_Logo_Link
31,Assam Rifles (AR),Defence & Security,Armed Forces / Paramilitary,AR,https://upload.wikimedia.org/wikipedia/commons/0/01/Assam_Rifles_LOGO.svg
32,Border Roads Organisation (BRO),Defence & Security,Armed Forces / Paramilitary,BRO,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Border_Roads_Organisation_logo.png/220px-Border_Roads_Organisation_logo.png
33,Border Security Force (BSF),Defence & Security,Armed Forces / Paramilitary,BSF,https://upload.wikimedia.org/wikipedia/commons/6/67/BSF_Logo.png
34,Central Bureau of Investigation (CBI),Defence & Security,Armed Forces / Paramilitary,CBI,https://upload.wikimedia.org/wikipedia/commons/4/4b/Cbi_logo.svg
35,Central Industrial Security Force (CISF),Defence & Security,Armed Forces / Paramilitary,CISF,https://upload.wikimedia.org/wikipedia/commons/5/52/CISF_LOGO.svg
36,Central Reserve Police Force (CRPF),Defence & Security,Armed Forces / Paramilitary,CRPF,https://upload.wikimedia.org/wikipedia/commons/b/b3/CRPF_Logo.svg
37,Indian Air Force (IAF),Defence & Security,Armed Forces / Paramilitary,IAF,https://upload.wikimedia.org/wikipedia/commons/f/fe/Indian_Air_Force_Crest.svg
38,Indian Army,Defence & Security,Armed Forces / Paramilitary,IA,https://upload.wikimedia.org/wikipedia/commons/9/99/Emblem_of_the_Indian_Army.svg
39,Indian Coast Guard (ICG),Defence & Security,Armed Forces / Paramilitary,ICG,https://upload.wikimedia.org/wikipedia/commons/7/7b/Indian_Coast_Guard_Logo.svg
40,Indian Navy,Defence & Security,Armed Forces / Paramilitary,IN,https://upload.wikimedia.org/wikipedia/commons/5/5c/Indian_Navy_crest.svg
41,Indo-Tibetan Border Police (ITBP),Defence & Security,Armed Forces / Paramilitary,ITBP,https://upload.wikimedia.org/wikipedia/commons/0/0a/ITBP_Logo.svg
42,Intelligence Bureau (IB),Defence & Security,Armed Forces / Paramilitary,IB,https://upload.wikimedia.org/wikipedia/commons/3/3a/Intelligence_Bureau.svg
43,Narcotics Control Bureau (NCB),Defence & Security,Armed Forces / Paramilitary,NCB,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Narcotics_Control_Bureau_logo.png/220px-Narcotics_Control_Bureau_logo.png
44,National Cadet Corps (NCC),Defence & Security,Armed Forces / Paramilitary,NCC,https://upload.wikimedia.org/wikipedia/commons/0/00/National_Cadet_Corps_%28India%29_logo.svg
45,National Investigation Agency (NIA),Defence & Security,Armed Forces / Paramilitary,NIA,https://upload.wikimedia.org/wikipedia/commons/9/90/National_Investigation_Agency_Logo.png
46,National Security Guard (NSG),Defence & Security,Armed Forces / Paramilitary,NSG,https://upload.wikimedia.org/wikipedia/commons/4/4f/National_Security_Guard-India.svg
47,Sashastra Seema Bal (SSB),Defence & Security,Armed Forces / Paramilitary,SSB,https://upload.wikimedia.org/wikipedia/commons/a/a9/Sashastra_Seema_Bal.svg
48,Aligarh Muslim University (AMU),Education & Research,Central University,AMU,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Aligarh_Muslim_University_logo.png/250px-Aligarh_Muslim_University_logo.png
49,Banaras Hindu University (BHU),Education & Research,Central University,BHU,https://upload.wikimedia.org/wikipedia/commons/a/a7/BHU_Logo_with_Tagline_Hindi_Banaras_Hindu_University.png
50,Jamia Millia Islamia (JMI),Education & Research,Central University,JMI,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Jamia_Millia_Islamia_Logo.svg/250px-Jamia_Millia_Islamia_Logo.svg.png
51,Jawaharlal Nehru University (JNU),Education & Research,Central University,JNU,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Jawaharlal_Nehru_University_logo.svg/250px-Jawaharlal_Nehru_University_logo.svg.png
52,University of Delhi (DU),Education & Research,Central University,DU,https://upload.wikimedia.org/wikipedia/commons/6/62/Delhi_University%27s_official_logo.png
53,Indian Institute of Management Ahmedabad (IIM),Education & Research,IIM,IIM,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/IIM%2C_Ahmedabad_Logo.svg/250px-IIM%2C_Ahmedabad_Logo.svg.png
54,Indian Institute of Management Bangalore (IIM),Education & Research,IIM,IIM,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/IIM_Bangalore_Logo.svg/250px-IIM_Bangalore_Logo.svg.png
55,Indian Institute of Management Calcutta (IIM),Education & Research,IIM,IIM,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/IIMC_LOGO.svg/250px-IIMC_LOGO.svg.png
56,Indian Institute of Management Indore (IIM),Education & Research,IIM,IIM,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/IIM_Indore_Logo.svg/250px-IIM_Indore_Logo.svg.png
57,Indian Institute of Management Kozhikode (IIM),Education & Research,IIM,IIM,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/IIMKozhikode_Logo.svg/250px-IIMKozhikode_Logo.svg.png
58,Indian Institute of Management Lucknow (IIM),Education & Research,IIM,IIM,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/IIM_Lucknow_Logo.svg/250px-IIM_Lucknow_Logo.svg.png
59,Indian Institute of Technology Bombay (IIT),Education & Research,IIT,IIT,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/IIT_Bombay_Logo.svg/250px-IIT_Bombay_Logo.svg.png
60,Indian Institute of Technology Delhi (IIT),Education & Research,IIT,IIT,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/IIT_Delhi_logo.svg/250px-IIT_Delhi_logo.svg.png
61,Indian Institute of Technology Guwahati (IIT),Education & Research,IIT,IIT,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/IIT_Guwahati_Logo.svg/250px-IIT_Guwahati_Logo.svg.png
62,Indian Institute of Technology Hyderabad (IIT),Education & Research,IIT,IIT,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/IIT_Hyderabad_Insignia.svg/250px-IIT_Hyderabad_Insignia.svg.png
63,Indian Institute of Technology Kanpur (IIT),Education & Research,IIT,IIT,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/IIT_Kanpur_Logo.svg/250px-IIT_Kanpur_Logo.svg.png
64,Indian Institute of Technology Kharagpur (IIT),Education & Research,IIT,IIT,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/IIT_Kharagpur_Logo.svg/250px-IIT_Kharagpur_Logo.svg.png
65,Indian Institute of Technology Madras (IIT),Education & Research,IIT,IIT,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/IIT_Madras_Logo.svg/250px-IIT_Madras_Logo.svg.png
66,Indian Institute of Technology Roorkee (IIT),Education & Research,IIT,IIT,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/IIT_Roorkee_logo.png/250px-IIT_Roorkee_logo.png
67,National Institute of Technology Calicut (NIT),Education & Research,NIT,NIT,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/National_Institute_of_Technology%2C_Calicut_Logo.png/250px-National_Institute_of_Technology%2C_Calicut_Logo.png
68,National Institute of Technology Durgapur (NIT),Education & Research,NIT,NIT,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/National_Institute_of_Technology%2C_Durgapur_Logo.svg/250px-National_Institute_of_Technology%2C_Durgapur_Logo.svg.png
69,National Institute of Technology Nagpur (NIT),Education & Research,NIT,NIT,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Visvesvaraya_National_Institute_of_Technology_logo.png/250px-Visvesvaraya_National_Institute_of_Technology_logo.png
70,National Institute of Technology Rourkela (NIT),Education & Research,NIT,NIT,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/National_Institute_of_Technology_Rourkela_Logo.svg/250px-National_Institute_of_Technology_Rourkela_Logo.svg.png
71,National Institute of Technology Surathkal (NIT),Education & Research,NIT,NIT,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/National_Institute_of_Technology_Karnataka_Logo.svg/250px-National_Institute_of_Technology_Karnataka_Logo.svg.png
72,National Institute of Technology Trichy (NIT),Education & Research,NIT,NIT,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/NIT_Trichy_logo.png/250px-NIT_Trichy_logo.png
73,National Institute of Technology Warangal (NIT),Education & Research,NIT,NIT,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/NIT_Warangal_logo.png/250px-NIT_Warangal_logo.png
74,All India Institute of Medical Sciences Bhopal (AIIMS),Health & Medicine,AIIMS,AIIMS,https://en.wikipedia.org/wiki/Special:FilePath/All%20India%20Institute%20of%20Medical%20Sciences%2C%20Bhopal%20Logo.png
75,All India Institute of Medical Sciences Bhubaneswar (AIIMS),Health & Medicine,AIIMS,AIIMS,https://en.wikipedia.org/wiki/Special:FilePath/AIIMS%20Bhubaneswar%20logo.png
76,All India Institute of Medical Sciences Jodhpur (AIIMS),Health & Medicine,AIIMS,AIIMS,https://en.wikipedia.org/wiki/Special:FilePath/The%20Official%20Seal%20of%20AIIMS%20Jodhpur.png
77,All India Institute of Medical Sciences New Delhi (AIIMS),Health & Medicine,AIIMS,AIIMS,https://upload.wikimedia.org/wikipedia/commons/2/29/AIIMS_New_Delhi.png
78,All India Institute of Medical Sciences Patna (AIIMS),Health & Medicine,AIIMS,AIIMS,https://en.wikipedia.org/wiki/Special:FilePath/All%20India%20Institute%20of%20Medical%20Sciences%2C%20Patna%20logo.png
79,All India Institute of Medical Sciences Raipur (AIIMS),Health & Medicine,AIIMS,AIIMS,https://en.wikipedia.org/wiki/Special:FilePath/All%20India%20Institute%20of%20Medical%20Sciences%2C%20Raipur%20logo.png
80,All India Institute of Medical Sciences Rishikesh (AIIMS),Health & Medicine,AIIMS,AIIMS,https://en.wikipedia.org/wiki/Special:FilePath/All%20India%20Institute%20of%20Medical%20Sciences%2C%20Rishikesh.svg
81,Airports Authority of India (AAI),Public Sector Undertaking,Central PSU,AAI,https://upload.wikimedia.org/wikipedia/commons/9/92/Airports_authority_of_India_Logo.png
82,Bharat Dynamics Limited (BDL),Public Sector Undertaking,Central PSU,BDL,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Bharat_Dynamics_logo.svg/220px-Bharat_Dynamics_logo.svg.png
83,Bharat Earth Movers Limited (BEML),Public Sector Undertaking,Central PSU,BEML,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/BEML_Limited_Logo.svg/220px-BEML_Limited_Logo.svg.png
84,Bharat Electronics Limited (BEL),Public Sector Undertaking,Central PSU,BEL,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Bharat_Electronics_logo.svg/220px-Bharat_Electronics_logo.svg.png
85,Bharat Heavy Electricals Limited (BHEL),Public Sector Undertaking,Central PSU,BHEL,https://upload.wikimedia.org/wikipedia/commons/c/c5/BHEL_logo.svg
86,Bharat Petroleum Corporation Limited (BPCL),Public Sector Undertaking,Central PSU,BPCL,https://upload.wikimedia.org/wikipedia/commons/9/90/Bharat_Petroleum_Logo.svg
87,Bharat Sanchar Nigam Limited (BSNL),Public Sector Undertaking,Central PSU,BSNL,https://upload.wikimedia.org/wikipedia/commons/9/94/BSNL_Logo.svg
88,Coal India Limited (CIL),Public Sector Undertaking,Central PSU,CIL,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Coal_India_Logo.svg/220px-Coal_India_Logo.svg.png
89,Container Corporation of India (CONCOR),Public Sector Undertaking,Central PSU,CONCOR,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Container_Corporation_of_India_Logo.svg/220px-Container_Corporation_of_India_Logo.svg.png
90,Engineers India Limited (EIL),Public Sector Undertaking,Central PSU,EIL,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Engineers_India_Limited_Logo.svg/220px-Engineers_India_Limited_Logo.svg.png
91,Food Corporation of India (FCI),Public Sector Undertaking,Central PSU,FCI,https://upload.wikimedia.org/wikipedia/commons/e/ec/FCI_logo.svg
92,GAIL India Limited (GAIL),Public Sector Undertaking,Central PSU,GAIL,https://upload.wikimedia.org/wikipedia/commons/c/c3/GAIL_Logo.svg
93,Garden Reach Shipbuilders (GRSE),Public Sector Undertaking,Central PSU,GRSE,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Garden_Reach_Shipbuilders_%26_Engineers_Logo.svg/220px-Garden_Reach_Shipbuilders_%26_Engineers_Logo.svg.png
94,Hindustan Aeronautics Limited (HAL),Public Sector Undertaking,Central PSU,HAL,https://upload.wikimedia.org/wikipedia/commons/7/74/Hindustan_Aeronautics_Limited_Logo.svg
95,Hindustan Petroleum Corporation Limited (HPCL),Public Sector Undertaking,Central PSU,HPCL,https://upload.wikimedia.org/wikipedia/commons/c/c6/Hindustan_Petroleum_Logo.svg
96,Housing and Urban Development Corporation (HUDCO),Public Sector Undertaking,Central PSU,HUDCO,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/HUDCO_Logo.svg/220px-HUDCO_Logo.svg.png
97,IRCON International Limited (IRCON),Public Sector Undertaking,Central PSU,IRCON,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Ircon_International_logo.svg/220px-Ircon_International_logo.svg.png
98,Indian Oil Corporation Limited (IOCL),Public Sector Undertaking,Central PSU,IOCL,https://upload.wikimedia.org/wikipedia/commons/d/de/Indian_Oil_Logo.svg
99,Indian Railway Catering and Tourism Corporation (IRCTC),Public Sector Undertaking,Central PSU,IRCTC,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/IRCTC_Logo.svg/220px-IRCTC_Logo.svg.png
100,Mahanagar Telephone Nigam Limited (MTNL),Public Sector Undertaking,Central PSU,MTNL,https://upload.wikimedia.org/wikipedia/commons/9/91/Mahanagar_Telephone_Nigam_Logo.svg
101,Mazagon Dock Shipbuilders Limited (MDL),Public Sector Undertaking,Central PSU,MDL,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Mazagon_Dock_Shipbuilders_Logo.svg/220px-Mazagon_Dock_Shipbuilders_Logo.svg.png
102,NLC India Limited (NLCIL),Public Sector Undertaking,Central PSU,NLCIL,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/NLC_India_Limited_Logo.svg/220px-NLC_India_Limited_Logo.svg.png
103,NTPC Limited (NTPC),Public Sector Undertaking,Central PSU,NTPC,https://upload.wikimedia.org/wikipedia/commons/c/c2/NTPC_Logo.svg
104,National Aluminium Company (NALCO),Public Sector Undertaking,Central PSU,NALCO,https://upload.wikimedia.org/wikipedia/en/thumb/1/10/National_Aluminium_Company_Logo.svg/220px-National_Aluminium_Company_Logo.svg.png
105,National Buildings Construction Corporation (NBCC),Public Sector Undertaking,Central PSU,NBCC,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/NBCC_India_Logo.svg/220px-NBCC_India_Logo.svg.png
106,National Mineral Development Corporation (NMDC),Public Sector Undertaking,Central PSU,NMDC,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/NMDC_Limited_Logo.svg/220px-NMDC_Limited_Logo.svg.png
107,Nuclear Power Corporation of India Limited (NPCIL),Public Sector Undertaking,Central PSU,NPCIL,https://upload.wikimedia.org/wikipedia/commons/1/19/Nuclear_Power_Corporation_of_India_logo.svg
108,Oil India Limited (OIL),Public Sector Undertaking,Central PSU,OIL,https://upload.wikimedia.org/wikipedia/commons/9/9f/Oil_India_Logo.svg
109,Oil and Natural Gas Corporation (ONGC),Public Sector Undertaking,Central PSU,ONGC,https://upload.wikimedia.org/wikipedia/commons/4/47/ONGC_Logo.svg
110,Power Finance Corporation (PFC),Public Sector Undertaking,Central PSU,PFC,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Power_Finance_Corporation_Logo.svg/220px-Power_Finance_Corporation_Logo.svg.png
111,Power Grid Corporation of India Limited (POWERGRID),Public Sector Undertaking,Central PSU,POWERGRID,https://upload.wikimedia.org/wikipedia/commons/4/4c/Power_Grid_Corporation_of_India_Logo.svg
112,RITES Limited (RITES),Public Sector Undertaking,Central PSU,RITES,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/RITES_Logo.svg/220px-RITES_Logo.svg.png
113,Rail Vikas Nigam Limited (RVNL),Public Sector Undertaking,Central PSU,RVNL,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/Rail_Vikas_Nigam_Logo.svg/220px-Rail_Vikas_Nigam_Logo.svg.png
114,Rashtriya Ispat Nigam Limited (RINL),Public Sector Undertaking,Central PSU,RINL,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Rashtriya_Ispat_Nigam_Logo.svg/220px-Rashtriya_Ispat_Nigam_Logo.svg.png
115,Rural Electrification Corporation (REC),Public Sector Undertaking,Central PSU,REC,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/REC_Limited_Logo.svg/220px-REC_Limited_Logo.svg.png
116,Shipping Corporation of India (SCI),Public Sector Undertaking,Central PSU,SCI,https://upload.wikimedia.org/wikipedia/commons/8/81/Shipping_Corporation_of_India_Logo.svg
117,Steel Authority of India Limited (SAIL),Public Sector Undertaking,Central PSU,SAIL,https://upload.wikimedia.org/wikipedia/commons/0/07/Steel_Authority_of_India_Logo.svg
118,Indian Railways (RRB / RRC Centralized Logo),Railways,Recruitment Board,RRB / RRC Centralized Logo,https://upload.wikimedia.org/wikipedia/commons/a/ab/Indian_Railways_logo.svg
119,Bhabha Atomic Research Centre (BARC),Science & Research,Apex Research Organization,BARC,https://upload.wikimedia.org/wikipedia/commons/3/3d/Bhabha_Atomic_Research_Centre_Logo.svg
120,Council of Scientific and Industrial Research (CSIR),Science & Research,Apex Research Organization,CSIR,https://upload.wikimedia.org/wikipedia/commons/c/cc/CSIR_India.svg
121,Defence Research and Development Organisation (DRDO),Science & Research,Apex Research Organization,DRDO,https://upload.wikimedia.org/wikipedia/commons/6/6f/DRDO_seal.svg
122,Department of Atomic Energy (DAE),Science & Research,Apex Research Organization,DAE,https://en.wikipedia.org/wiki/Special:FilePath/Department%20of%20Atomic%20Energy.svg
123,Indian Council of Agricultural Research (ICAR),Science & Research,Apex Research Organization,ICAR,https://upload.wikimedia.org/wikipedia/commons/7/7b/Indian_Council_of_Agricultural_Research_Logo.svg
124,Indian Council of Medical Research (ICMR),Science & Research,Apex Research Organization,ICMR,https://upload.wikimedia.org/wikipedia/commons/4/4e/Indian_Council_of_Medical_Research_Logo.svg
125,Indian Space Research Organisation (ISRO),Science & Research,Apex Research Organization,ISRO,https://upload.wikimedia.org/wikipedia/commons/b/bd/Indian_Space_Research_Organisation_Logo.svg
126,Andhra Pradesh Police Recruitment Board,State Government,State Commission / Board,APPRB,https://upload.wikimedia.org/wikipedia/te/e/ea/Appolice%28emblem%29.png
127,Andhra Pradesh Public Service Commission (APPSC),State Government,State Commission / Board,APPSC,https://upload.wikimedia.org/wikipedia/commons/3/37/Emblem_of_Andhra_Pradesh.svg
128,Andhra Pradesh State Electricity / Power Generation Board,State Government,State Commission / Board,APSEP,https://apgenco.gov.in/includes/assets/images/logos/apgenco2.png
129,Andhra Pradesh State Road Transport Corporation,State Government,State Commission / Board,APSRT,https://www.apsrtc.ap.gov.in/images/apsrtc_logo1.gif
130,Arunachal Pradesh Police Recruitment Board,State Government,State Commission / Board,APPRB,https://upload.wikimedia.org/wikipedia/en/c/c9/Arunachal_Pradesh_Police_Logo.png
131,Arunachal Pradesh Public Service Commission (APPSC),State Government,State Commission / Board,APPSC,https://upload.wikimedia.org/wikipedia/commons/d/d4/Emblem_of_Arunachal_Pradesh.svg
132,Arunachal Pradesh State Electricity / Power Generation Board,State Government,State Commission / Board,APSEP,https://upload.wikimedia.org/wikipedia/commons/d/d4/Emblem_of_Arunachal_Pradesh.svg
133,Arunachal Pradesh State Road Transport Corporation,State Government,State Commission / Board,APSRT,https://en.wikipedia.org/wiki/Special:FilePath/Arunachal%20Pradesh%20Seal.svg
134,Assam Police Recruitment Board,State Government,State Commission / Board,APRB,https://upload.wikimedia.org/wikipedia/en/2/24/Assam_Police_badge.png
135,Assam Public Service Commission (APSC),State Government,State Commission / Board,APSC,https://upload.wikimedia.org/wikipedia/commons/7/70/Emblem_of_Assam.svg
136,Assam State Electricity / Power Generation Board,State Government,State Commission / Board,ASEPG,https://kamrup.assam.gov.in/sites/default/files/inline-images/APDCL-ORG_0.png
137,Assam State Road Transport Corporation,State Government,State Commission / Board,ASRTC,https://upload.wikimedia.org/wikipedia/commons/7/70/Emblem_of_Assam.svg
138,Bihar Police Recruitment Board,State Government,State Commission / Board,BPRB,https://upload.wikimedia.org/wikipedia/en/8/89/Bihar_Police_Logo.svg
139,Bihar Public Service Commission (BPSC),State Government,State Commission / Board,BPSC,https://upload.wikimedia.org/wikipedia/commons/e/e9/Emblem_of_Bihar.svg
140,Bihar State Electricity / Power Generation Board,State Government,State Commission / Board,BSEPG,https://hrmspension.bsphcl.co.in:9010/images/bihar-logo.png
141,Bihar State Road Transport Corporation,State Government,State Commission / Board,BSRTC,https://upload.wikimedia.org/wikipedia/commons/e/e9/Emblem_of_Bihar.svg
142,Chhattisgarh Police Recruitment Board,State Government,State Commission / Board,CPRB,https://upload.wikimedia.org/wikipedia/commons/5/57/Emblem_of_Chhattisgarh.svg
143,Chhattisgarh Public Service Commission (CPSC),State Government,State Commission / Board,CPSC,https://upload.wikimedia.org/wikipedia/commons/5/57/Emblem_of_Chhattisgarh.svg
144,Chhattisgarh State Electricity / Power Generation Board,State Government,State Commission / Board,CSEPG,https://upload.wikimedia.org/wikipedia/commons/5/57/Emblem_of_Chhattisgarh.svg
145,Chhattisgarh State Road Transport Corporation,State Government,State Commission / Board,CSRTC,https://upload.wikimedia.org/wikipedia/commons/5/57/Emblem_of_Chhattisgarh.svg
146,Delhi Police Recruitment Board,State Government,State Commission / Board,DPRB,https://upload.wikimedia.org/wikipedia/commons/0/09/Delhi_Police_Logo.png
147,Delhi Public Service Commission (DPSC),State Government,State Commission / Board,DPSC,https://dsssb.delhi.gov.in/sites/default/files/DSSSB/logo/dsssb.png
148,Delhi State Electricity / Power Generation Board,State Government,State Commission / Board,DSEPG,https://dtl.gov.in/images/dtl-logo.png
149,Delhi State Road Transport Corporation,State Government,State Commission / Board,DSRTC,https://upload.wikimedia.org/wikipedia/en/f/fb/Delhi_Transport_Corporation_logo.png
150,Goa Police Recruitment Board,State Government,State Commission / Board,GPRB,https://upload.wikimedia.org/wikipedia/en/d/dd/Emblem_of_Goa_Police.png
151,Goa Public Service Commission (GPSC),State Government,State Commission / Board,GPSC,https://upload.wikimedia.org/wikipedia/commons/5/5e/Emblem_of_Goa.svg
152,Goa State Electricity / Power Generation Board,State Government,State Commission / Board,GSEPG,https://upload.wikimedia.org/wikipedia/commons/5/5e/Emblem_of_Goa.svg
153,Goa State Road Transport Corporation,State Government,State Commission / Board,GSRTC,https://upload.wikimedia.org/wikipedia/en/0/05/Kadamba_Transport_Corporation_logo.png
